question,answer
"배색원피스,아이보리,free,손세탁, 드라이, 울세탁","""코디 걱정 끝-! 단숨에 예뻐지는 슬림핏 배색 원피스♥-"" ? ♥ MD COMMENT 이건 보자마자 바로 아띠님들께 보여드려야 겠다! 생각한 원피스에요♥ 바쁜 아침이나, 집 앞 데이트룩, 스니커즈나 샌들과도 이지하게 입기 좋은 베이직 니트 원피스 소개해드릴게요 :) 부드러우면서 유연한 니트 패브릭으로 기분 좋은 착용감을 선사드리며, 쫀~득 신축성으로 불편함이 전혀 없어요! 휘뚜루마뚜루~ 즐겨 입기 좋아 단품으로, 때로는 레이어드용으로 자주 손이 가는 데일리 원피스랍니다-♪  ♥ DETAIL TIP 입는 순간 부드럽게 바디를 감싸주는 촉촉한 니트 패브릭의 미니 원피스예요 :) 깔끔한 카라넥에 트임을 더해 여성스러움이 더욱 느껴지구요, 카라넥과 소매단에 배색을 더해주어 밋밋함 없는 은은한 포인트를 더했어요♥ 또한, 바디라인 곡선을 따라 부드럽게 핏되는 슬림핏 디자인으로 S라인 몸매를 완성해주며, 미니-미디 기장으로 롱아띠님들도 부담 없이 착용해보실 수 있답니다  ♥ COLOR TIP 컬러의 경우, 총 4가지 컬러로 준비되어 있어요 :)  *아이보리- 부드럽고 뽀얀 색감의 아이보리 *핑크- 여자들의 로망, 로맨틱 핑크 *스카이블루- 여리여리 청순한 스카이블루 *네이비- 캐주얼하면서도 세련된 네이비  ♥ SIZE TIP FREE 사이즈로 준비되었으니 하단의 상세사이즈를 참고해주세요.  촬영을 진행한 기솔모델은 키 167cm, 슬림55 바디랍니다♪  44 ~ 55반 사이즈까지 추천해드릴게요. ? ★세탁 시 드라이클리닝 해주시거나 울세제로 단독손세탁하여 관리해주세요.  ──────────────────────── MATERIAL (혼용률) : ACRYL 75% + POLYESTER 25% 두께 : 중간 , 비침 : 중간 신축 : 높음 , 안감 : 없음 세탁법 : 손세탁 드라이 단독세탁 울세탁 세탁기금지?세탁건조기 사용불가 ──────────────────────── ? ? "
"배색원피스,핑크,free,손세탁, 드라이, 울세탁","""코디 걱정 끝-! 단숨에 예뻐지는 슬림핏 배색 원피스♥-"" ? ♥ MD COMMENT 이건 보자마자 바로 아띠님들께 보여드려야 겠다! 생각한 원피스에요♥ 바쁜 아침이나, 집 앞 데이트룩, 스니커즈나 샌들과도 이지하게 입기 좋은 베이직 니트 원피스 소개해드릴게요 :) 부드러우면서 유연한 니트 패브릭으로 기분 좋은 착용감을 선사드리며, 쫀~득 신축성으로 불편함이 전혀 없어요! 휘뚜루마뚜루~ 즐겨 입기 좋아 단품으로, 때로는 레이어드용으로 자주 손이 가는 데일리 원피스랍니다-♪  ♥ DETAIL TIP 입는 순간 부드럽게 바디를 감싸주는 촉촉한 니트 패브릭의 미니 원피스예요 :) 깔끔한 카라넥에 트임을 더해 여성스러움이 더욱 느껴지구요, 카라넥과 소매단에 배색을 더해주어 밋밋함 없는 은은한 포인트를 더했어요♥ 또한, 바디라인 곡선을 따라 부드럽게 핏되는 슬림핏 디자인으로 S라인 몸매를 완성해주며, 미니-미디 기장으로 롱아띠님들도 부담 없이 착용해보실 수 있답니다  ♥ COLOR TIP 컬러의 경우, 총 4가지 컬러로 준비되어 있어요 :)  *아이보리- 부드럽고 뽀얀 색감의 아이보리 *핑크- 여자들의 로망, 로맨틱 핑크 *스카이블루- 여리여리 청순한 스카이블루 *네이비- 캐주얼하면서도 세련된 네이비  ♥ SIZE TIP FREE 사이즈로 준비되었으니 하단의 상세사이즈를 참고해주세요.  촬영을 진행한 기솔모델은 키 167cm, 슬림55 바디랍니다♪  44 ~ 55반 사이즈까지 추천해드릴게요. ? ★세탁 시 드라이클리닝 해주시거나 울세제로 단독손세탁하여 관리해주세요.  ──────────────────────── MATERIAL (혼용률) : ACRYL 75% + POLYESTER 25% 두께 : 중간 , 비침 : 중간 신축 : 높음 , 안감 : 없음 세탁법 : 손세탁 드라이 단독세탁 울세탁 세탁기금지?세탁건조기 사용불가 ──────────────────────── ? ? "
"배색원피스,스카이블루,free,손세탁, 드라이, 울세탁","""코디 걱정 끝-! 단숨에 예뻐지는 슬림핏 배색 원피스♥-"" ? ♥ MD COMMENT 이건 보자마자 바로 아띠님들께 보여드려야 겠다! 생각한 원피스에요♥ 바쁜 아침이나, 집 앞 데이트룩, 스니커즈나 샌들과도 이지하게 입기 좋은 베이직 니트 원피스 소개해드릴게요 :) 부드러우면서 유연한 니트 패브릭으로 기분 좋은 착용감을 선사드리며, 쫀~득 신축성으로 불편함이 전혀 없어요! 휘뚜루마뚜루~ 즐겨 입기 좋아 단품으로, 때로는 레이어드용으로 자주 손이 가는 데일리 원피스랍니다-♪  ♥ DETAIL TIP 입는 순간 부드럽게 바디를 감싸주는 촉촉한 니트 패브릭의 미니 원피스예요 :) 깔끔한 카라넥에 트임을 더해 여성스러움이 더욱 느껴지구요, 카라넥과 소매단에 배색을 더해주어 밋밋함 없는 은은한 포인트를 더했어요♥ 또한, 바디라인 곡선을 따라 부드럽게 핏되는 슬림핏 디자인으로 S라인 몸매를 완성해주며, 미니-미디 기장으로 롱아띠님들도 부담 없이 착용해보실 수 있답니다  ♥ COLOR TIP 컬러의 경우, 총 4가지 컬러로 준비되어 있어요 :)  *아이보리- 부드럽고 뽀얀 색감의 아이보리 *핑크- 여자들의 로망, 로맨틱 핑크 *스카이블루- 여리여리 청순한 스카이블루 *네이비- 캐주얼하면서도 세련된 네이비  ♥ SIZE TIP FREE 사이즈로 준비되었으니 하단의 상세사이즈를 참고해주세요.  촬영을 진행한 기솔모델은 키 167cm, 슬림55 바디랍니다♪  44 ~ 55반 사이즈까지 추천해드릴게요. ? ★세탁 시 드라이클리닝 해주시거나 울세제로 단독손세탁하여 관리해주세요.  ──────────────────────── MATERIAL (혼용률) : ACRYL 75% + POLYESTER 25% 두께 : 중간 , 비침 : 중간 신축 : 높음 , 안감 : 없음 세탁법 : 손세탁 드라이 단독세탁 울세탁 세탁기금지?세탁건조기 사용불가 ──────────────────────── ? ? "
"배색원피스,네이비,free,손세탁, 드라이, 울세탁","""코디 걱정 끝-! 단숨에 예뻐지는 슬림핏 배색 원피스♥-"" ? ♥ MD COMMENT 이건 보자마자 바로 아띠님들께 보여드려야 겠다! 생각한 원피스에요♥ 바쁜 아침이나, 집 앞 데이트룩, 스니커즈나 샌들과도 이지하게 입기 좋은 베이직 니트 원피스 소개해드릴게요 :) 부드러우면서 유연한 니트 패브릭으로 기분 좋은 착용감을 선사드리며, 쫀~득 신축성으로 불편함이 전혀 없어요! 휘뚜루마뚜루~ 즐겨 입기 좋아 단품으로, 때로는 레이어드용으로 자주 손이 가는 데일리 원피스랍니다-♪  ♥ DETAIL TIP 입는 순간 부드럽게 바디를 감싸주는 촉촉한 니트 패브릭의 미니 원피스예요 :) 깔끔한 카라넥에 트임을 더해 여성스러움이 더욱 느껴지구요, 카라넥과 소매단에 배색을 더해주어 밋밋함 없는 은은한 포인트를 더했어요♥ 또한, 바디라인 곡선을 따라 부드럽게 핏되는 슬림핏 디자인으로 S라인 몸매를 완성해주며, 미니-미디 기장으로 롱아띠님들도 부담 없이 착용해보실 수 있답니다  ♥ COLOR TIP 컬러의 경우, 총 4가지 컬러로 준비되어 있어요 :)  *아이보리- 부드럽고 뽀얀 색감의 아이보리 *핑크- 여자들의 로망, 로맨틱 핑크 *스카이블루- 여리여리 청순한 스카이블루 *네이비- 캐주얼하면서도 세련된 네이비  ♥ SIZE TIP FREE 사이즈로 준비되었으니 하단의 상세사이즈를 참고해주세요.  촬영을 진행한 기솔모델은 키 167cm, 슬림55 바디랍니다♪  44 ~ 55반 사이즈까지 추천해드릴게요. ? ★세탁 시 드라이클리닝 해주시거나 울세제로 단독손세탁하여 관리해주세요.  ──────────────────────── MATERIAL (혼용률) : ACRYL 75% + POLYESTER 25% 두께 : 중간 , 비침 : 중간 신축 : 높음 , 안감 : 없음 세탁법 : 손세탁 드라이 단독세탁 울세탁 세탁기금지?세탁건조기 사용불가 ──────────────────────── ? ? "
"레이어트뷔스티에 원피스,베이지,free,손세탁, 드라이","""페미닌함 가득 담은♥ 레이어드 뷔스티에 원피스-"" ?? ♥ MD COMMENT 다양한 스타일링이 가능한 뷔스티에 스타일의 레이어드 원피스예요. 일자로 떨어지는 넉넉한 라인감에, 사이드라인의 리본스트랩으로 허리 둘레 조절이 가능해서 통통한 아띠님들도 충분히 착용하실 수 있어요! 전체적으로 단정한 느낌이라 하객룩, 모임룩, 상견례룩 등으로 격식있는 자리에 제격이구요, 이지한 티셔츠와 함께 데일리룩으로 입기에도 좋답니다 :) ? ♥ DETAIL TIP 와이드한 브이넥 디자인이라 이너로 입는 상의에 제한이 없어서 이지하게 스타일링이 가능해요! 핏&플레어 라인감으로 페미닌한 무드가 돋보이구요, 종아리까지 덮는 롱한 기장감으로 레그라인의 군살은 감쪽같이 가려준답니다 :) 뒷중심의 콘솔지퍼로 이지한 착탈의까지 도와드릴게요.  ♥ COLOR TIP 베이지, 스카이블루, 블랙 총 3컬러로 준비했어요. ? 베이지 은은한 스킨톤의 컬러감이라 페미닌하고 여성스러운 스타일링에 잘 어울려요.  스카이블루 소프트한 파스텔 톤의 하늘색으로 소녀소녀하면서 청순한 느낌에 제격이에요!  블랙 어떤 색과도 잘 어울려서 이너 상의를 고를 때 컬러의 제한이 없어요 :)  ♥ SIZE TIP FREE 사이즈로 준비되었으니 하단의 상세사이즈를 참고해주세요. ? 키 160cm, 마른44 사이즈의 수연모델은 여유있는 예쁜 핏으로 착용했습니다.  44 ~ 66반 사이즈까지 추천드릴게요.  ★ 은은한 비침이 있는 가벼운 패브릭이라 스킨톤의 이너슬립과 함께 입어주세요.  ★ 첫 세탁시 드라이클리닝을 권해드리며 이 후에는 단독 손세탁해주세요. ? ──────────────────────── MATERIAL (혼용률) : POLYESTER 100% 두께 : 중간 , 비침 : 중간 신축 : 없음 , 안감 : 없음 세탁법 : 손세탁 드라이 단독세탁 세탁기금지 세탁건조기 사용불가 ──────────────────────── ? ? "
"레이어트뷔스티에 원피스,스카이블루,free,손세탁, 드라이","""페미닌함 가득 담은♥ 레이어드 뷔스티에 원피스-"" ?? ♥ MD COMMENT 다양한 스타일링이 가능한 뷔스티에 스타일의 레이어드 원피스예요. 일자로 떨어지는 넉넉한 라인감에, 사이드라인의 리본스트랩으로 허리 둘레 조절이 가능해서 통통한 아띠님들도 충분히 착용하실 수 있어요! 전체적으로 단정한 느낌이라 하객룩, 모임룩, 상견례룩 등으로 격식있는 자리에 제격이구요, 이지한 티셔츠와 함께 데일리룩으로 입기에도 좋답니다 :) ? ♥ DETAIL TIP 와이드한 브이넥 디자인이라 이너로 입는 상의에 제한이 없어서 이지하게 스타일링이 가능해요! 핏&플레어 라인감으로 페미닌한 무드가 돋보이구요, 종아리까지 덮는 롱한 기장감으로 레그라인의 군살은 감쪽같이 가려준답니다 :) 뒷중심의 콘솔지퍼로 이지한 착탈의까지 도와드릴게요.  ♥ COLOR TIP 베이지, 스카이블루, 블랙 총 3컬러로 준비했어요. ? 베이지 은은한 스킨톤의 컬러감이라 페미닌하고 여성스러운 스타일링에 잘 어울려요.  스카이블루 소프트한 파스텔 톤의 하늘색으로 소녀소녀하면서 청순한 느낌에 제격이에요!  블랙 어떤 색과도 잘 어울려서 이너 상의를 고를 때 컬러의 제한이 없어요 :)  ♥ SIZE TIP FREE 사이즈로 준비되었으니 하단의 상세사이즈를 참고해주세요. ? 키 160cm, 마른44 사이즈의 수연모델은 여유있는 예쁜 핏으로 착용했습니다.  44 ~ 66반 사이즈까지 추천드릴게요.  ★ 은은한 비침이 있는 가벼운 패브릭이라 스킨톤의 이너슬립과 함께 입어주세요.  ★ 첫 세탁시 드라이클리닝을 권해드리며 이 후에는 단독 손세탁해주세요. ? ──────────────────────── MATERIAL (혼용률) : POLYESTER 100% 두께 : 중간 , 비침 : 중간 신축 : 없음 , 안감 : 없음 세탁법 : 손세탁 드라이 단독세탁 세탁기금지 세탁건조기 사용불가 ──────────────────────── ? ? "
"레이어트뷔스티에 원피스,블랙,free,손세탁, 드라이","""페미닌함 가득 담은♥ 레이어드 뷔스티에 원피스-"" ?? ♥ MD COMMENT 다양한 스타일링이 가능한 뷔스티에 스타일의 레이어드 원피스예요. 일자로 떨어지는 넉넉한 라인감에, 사이드라인의 리본스트랩으로 허리 둘레 조절이 가능해서 통통한 아띠님들도 충분히 착용하실 수 있어요! 전체적으로 단정한 느낌이라 하객룩, 모임룩, 상견례룩 등으로 격식있는 자리에 제격이구요, 이지한 티셔츠와 함께 데일리룩으로 입기에도 좋답니다 :) ? ♥ DETAIL TIP 와이드한 브이넥 디자인이라 이너로 입는 상의에 제한이 없어서 이지하게 스타일링이 가능해요! 핏&플레어 라인감으로 페미닌한 무드가 돋보이구요, 종아리까지 덮는 롱한 기장감으로 레그라인의 군살은 감쪽같이 가려준답니다 :) 뒷중심의 콘솔지퍼로 이지한 착탈의까지 도와드릴게요.  ♥ COLOR TIP 베이지, 스카이블루, 블랙 총 3컬러로 준비했어요. ? 베이지 은은한 스킨톤의 컬러감이라 페미닌하고 여성스러운 스타일링에 잘 어울려요.  스카이블루 소프트한 파스텔 톤의 하늘색으로 소녀소녀하면서 청순한 느낌에 제격이에요!  블랙 어떤 색과도 잘 어울려서 이너 상의를 고를 때 컬러의 제한이 없어요 :)  ♥ SIZE TIP FREE 사이즈로 준비되었으니 하단의 상세사이즈를 참고해주세요. ? 키 160cm, 마른44 사이즈의 수연모델은 여유있는 예쁜 핏으로 착용했습니다.  44 ~ 66반 사이즈까지 추천드릴게요.  ★ 은은한 비침이 있는 가벼운 패브릭이라 스킨톤의 이너슬립과 함께 입어주세요.  ★ 첫 세탁시 드라이클리닝을 권해드리며 이 후에는 단독 손세탁해주세요. ? ──────────────────────── MATERIAL (혼용률) : POLYESTER 100% 두께 : 중간 , 비침 : 중간 신축 : 없음 , 안감 : 없음 세탁법 : 손세탁 드라이 단독세탁 세탁기금지 세탁건조기 사용불가 ──────────────────────── ? ? "
"퍼프 반팔 롱 원피스,베이지,free,손세탁, 드라이","""로맨틱 플리츠 한다발!♥ 사랑스러운 무드의 퍼프 반팔 롱 원피스-"" ?? ♥ MD COMMENT 너무너무 사랑스러운 플리츠 롱 원피스 소개해 드려요~ 데일리한 무드와 러블리한 무드가 공존하는 아이템으로, 데일리룩, 데이트룩, 하객룩까지 정말 다양하게 활용하기 좋은 원피스 제품이에요. 통기성 좋은 코튼 100% 소재로 제작되었으며, 몸에 감기지 않는 크리스피한 터치감으로 올 여름을 책임지게 될 요 아이템! 한 컬러쯤 소장해 주시길 꼭 바랄게요♥ ? ♥ DETAIL TIP 로맨틱한 플리츠 디테일을 원피스 전체에 둘러준 아이템이에요. 단정한 라운드넥과 반팔 퍼프 슬리브로 예쁜 직각 숄더 라인을 선사해 드리며, 넉넉한 사이즈와 A 라인으로 떨어지는?롱한 기장감으로, 미운 군살을 가볍게 커버해 드려요. 허리 스트링 내장으로 사이즈 조절이 가능하며, 약간의 요철감이 있는 링클 패브릭으로 제작되어 생활 주름 걱정 없이 입기 좋은 제품이에요. 백라인 콘솔지퍼로 깔끔하고 이지한 오픈클로징 까지 도와드린답니다♥  ♥ COLOR TIP ?컬러의경우, 베이지, 아이보리, 퍼플 ? 총 3가지 컬러로 준비되어 있답니다♪  *베이지 - S/S 무드의 라이트한 톤으로 여름 시즌 가장 데일리하게 입기 좋은 컬러에요.  *아이보리 - 청량감이 느껴지는 퓨어한 아이보리에요. 컬러 포인트 아이템과 믹스하기 좋은 컬러랍니다:)  *퍼플 - MD픽! 하나만으로 시선을 사로잡는 비비드한 포인트 컬러에요. 아이보리 아이템과 찰떡 궁합이랍니다♡ ♥ SIZE TIP Free 사이즈로 준비되었으니 하단의 상세사이즈를 참고해주세요.  44 ~ 정66 사이즈의 분들에게 권해드릴게요:)  촬영을 진행한 소이모델은 키 161cm, 44 바디랍니다♡  ★위 제품의 경우, 드라이클리닝 또는 부드럽게 단독 손세탁하여 주세요. ? ?──────────────────────── MATERIAL (혼용률) :?COTTON?100% 두께 : 중간 , 비침 : 없음 신축 : 없음 , 안감 : 없음 세탁법 : 손세탁 드라이 단독세탁 세탁기금지 세탁건조기 사용불가 ──────────────────────── ? ? "
"퍼프 반팔 롱 원피스,아이보리,free,손세탁, 드라이","""로맨틱 플리츠 한다발!♥ 사랑스러운 무드의 퍼프 반팔 롱 원피스-"" ?? ♥ MD COMMENT 너무너무 사랑스러운 플리츠 롱 원피스 소개해 드려요~ 데일리한 무드와 러블리한 무드가 공존하는 아이템으로, 데일리룩, 데이트룩, 하객룩까지 정말 다양하게 활용하기 좋은 원피스 제품이에요. 통기성 좋은 코튼 101% 소재로 제작되었으며, 몸에 감기지 않는 크리스피한 터치감으로 올 여름을 책임지게 될 요 아이템! 한 컬러쯤 소장해 주시길 꼭 바랄게요♥ ? ♥??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????0?貨????"
"퍼프 반팔 롱 원피스,퍼플,free,손세탁, 드라이","""로맨틱 플리츠 한다발!♥ 사랑스러운 무드의 퍼프 반팔 롱 원피스-"" ?? ♥ MD COMMENT 너무너무 사랑스러운 플리츠 롱 원피스 소개해 드려요~ 데일리한 무드와 러블리한 무드가 공존하는 아이템으로, 데일리룩, 데이트룩, 하객룩까지 정말 다양하게 활용하기 좋은 원피스 제품이에요. 통기성 좋은 코튼 102% 소재로 제작되었으며, 몸에 감기지 않는 크리스피한 터치감으로 올 여름을 책임지게 될 요 아이템! 한 컬러쯤 소장해 주시길 꼭 바랄게요♥ ? ♥??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????0?貨????"
